artist,release
Rihanna,"Wild Thoughts[RELEASE]"
"Bryson Tiller","Wild Thoughts[RELEASE]"
"Fly Anakin","Chapel Drive[RELEASE]"
"Koncept Jack$On","Chapel Drive[RELEASE]"
"Grubby Pawz","The Failures And The Glory[RELEASE]"
"Haze Of Main Aim","The Failures And The Glory[RELEASE]"
"Rock 'N' Rap Extravaganza","Smoke On The Water[RELEASE]"
"Ian Gillan","Smoke On The Water[RELEASE]"
"Raymond Lothar Slijngaard","Smoke On The Water[RELEASE]"
"Gianni Marino","Make You[RELEASE]"
"Luna May.","Make You[RELEASE]"
Chapee,"Feel It[RELEASE]"
"Max I Million","Feel It[RELEASE]"
Nas,"7 Days of Nas[RELEASE]"
"Max I Million","7 Days of Nas[RELEASE]"
"DJ Butta","Makaveli Part 3 - 7 Deadly Sins[RELEASE]"
Makaveli,"Makaveli Part 3 - 7 Deadly Sins[RELEASE]"
"Young Noble","The Code[RELEASE]"
"Deuce Deuce","The Code[RELEASE]"
"Concrete Mob","Godz Plan[RELEASE]"
"Deuce Deuce","Godz Plan[RELEASE]"
"Hussein Fatal","Wut You Talkin Bout[RELEASE]"
"Jim Jones (2)","Wut You Talkin Bout[RELEASE]"
"Guf (2)",GUSLI[RELEASE]
Slimus,GUSLI[RELEASE]
"Tank (4)","Let Me Live[RELEASE]"
"Mannie Fresh","Let Me Live[RELEASE]"
"Jazze Pha","Let Me Live[RELEASE]"
JoePhuz,Teleforce[RELEASE]
"B-Boy Brodie",Teleforce[RELEASE]
"Paris Ford","Ain't Paid[RELEASE]"
Deyzavoo,"Ain't Paid[RELEASE]"
Espot,"Ain't Paid[RELEASE]"
"Logic (27)",1-800-273-8255[RELEASE]
"Alessia Cara",1-800-273-8255[RELEASE]
"Khalid (16)",1-800-273-8255[RELEASE]
"Mary J. Blige","Mr. Wrong[RELEASE]"
Drake,"Mr. Wrong[RELEASE]"
"Mura Masa","All Around The World[RELEASE]"
Desiigner,"All Around The World[RELEASE]"
"Yutakata Hiroshi",T.O.S.S.EP[RELEASE]
HotelfromHell,T.O.S.S.EP[RELEASE]
"Jazz Spastiks","Midnight Method[RELEASE]"
"Mello Soul Black","Midnight Method[RELEASE]"
Tru-Life,"This Is The Life[RELEASE]"
Tara-Lynne,"This Is The Life[RELEASE]"
Koitama,"Playing EP[RELEASE]"
Aiwabeatz,"Playing EP[RELEASE]"
Shot-Arrow,"Playing EP[RELEASE]"
Koitama,"Weekend EP[RELEASE]"
"Chop The Onion","Weekend EP[RELEASE]"
"Pain (24)","Nezajímá EP[RELEASE]"
Kletis,"Nezajímá EP[RELEASE]"
Macklemore,Glorious[RELEASE]
"Skylar Grey",Glorious[RELEASE]
"Sly (48)","マンスリーすらいしー12月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー12月号[RELEASE]"
"Sly (48)","マンスリーすらいしー11月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー11月号[RELEASE]"
"Sly (48)","マンスリーすらいしー10月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー10月号[RELEASE]"
"Sly (48)","マンスリーすらいしー9月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー9月号[RELEASE]"
"Sly (48)","マンスリーすらいしー8月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー8月号[RELEASE]"
"Sly (48)","マンスリーすらいしー7月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー7月号[RELEASE]"
"Sly (48)","マンスリーすらいしー6月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー6月号[RELEASE]"
"Sly (48)","マンスリーすらいしー5月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー5月号[RELEASE]"
"Sly (48)","マンスリーすらいしー４月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー４月号[RELEASE]"
"Sly (48)","マンスリーすらいしー3月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー3月号[RELEASE]"
"Sly (48)","マンスリーすらいしー2月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー2月号[RELEASE]"
"Young Rome","For Your Love[RELEASE]"
"Marques Houston","For Your Love[RELEASE]"
"Sly (48)","マンスリーすらいしー1月号[RELEASE]"
"9llA Soundz","マンスリーすらいしー1月号[RELEASE]"
"Bet 1","Vai Tomar No Cu[RELEASE]"
Destruct,"Vai Tomar No Cu[RELEASE]"
Peja,"Fturując[RELEASE]"
"Slums Attack","Fturując[RELEASE]"
"Тимати","Дорога В Аэропорт[RELEASE]"
"Света","Дорога В Аэропорт[RELEASE]"
"Anti Lilly","Stories From The Brass Section[RELEASE]"
Phoniks,"Stories From The Brass Section[RELEASE]"
"Anti Lilly","It's Nice Outside[RELEASE]"
Phoniks,"It's Nice Outside[RELEASE]"
"Kloake (2)",Bridges[RELEASE]
"Nez Erok",Bridges[RELEASE]
"Sista In Trouble","Double Trouble[RELEASE]"
"Dr. Hijack","Double Trouble[RELEASE]"
"Not Your Dope",Indestructible[RELEASE]
"Max Schneider (5)",Indestructible[RELEASE]
"Engel (2)",Souvenirs[RELEASE]
"Just (3)",Souvenirs[RELEASE]
N.O.R.E.,"Uno Más[RELEASE]"
"Pharrell Williams","Uno Más[RELEASE]"
"Kanye West",Paranoid[RELEASE]
"Mr Hudson",Paranoid[RELEASE]
"Donnie Trumpet",Surf[RELEASE]
"The Social Experiment",Surf[RELEASE]
"Heem Stogied","Godz Gift[RELEASE]"
"Futurewave (2)","Godz Gift[RELEASE]"
LilErik,"Ingen Kärlek[RELEASE]"
"Scientific Production","Ingen Kärlek[RELEASE]"
UTP,"What's Up / What's Your Brains Like[RELEASE]"
"Juvenile (2)","What's Up / What's Your Brains Like[RELEASE]"
"Wacko (2)","What's Up / What's Your Brains Like[RELEASE]"
"Skip (2)","What's Up / What's Your Brains Like[RELEASE]"
"DJ Supreme (3)","Arctic II[RELEASE]"
Ice-T,"Arctic II[RELEASE]"
"The Icepick","Arctic II[RELEASE]"
Osanzi,"4 O'Clock![RELEASE]"
"Miku Hatsune","4 O'Clock![RELEASE]"
Paperboi,"Underground Up Vol. 1[RELEASE]"
"Ill Majestic","Underground Up Vol. 1[RELEASE]"
"Kanye West",Amazing[RELEASE]
"Young Jeezy",Amazing[RELEASE]
"Que (11)","Young Nigga[RELEASE]"
Migos,"Young Nigga[RELEASE]"
Coldcut,Vitals[RELEASE]
"On-U Sound",Vitals[RELEASE]
"Roots Manuva",Vitals[RELEASE]
"lowlow (3)","Per Sempre[RELEASE]"
Sercho,"Per Sempre[RELEASE]"
"M. Walk Productions","The Union[RELEASE]"
"The Union (3)","The Union[RELEASE]"
Wootacc,illtacc[RELEASE]
"Chill Terrific",illtacc[RELEASE]
AP9,"Kartel Kalifornia[RELEASE]"
Gonzoe,"Kartel Kalifornia[RELEASE]"
Seamo,"Rock This Way[RELEASE]"
SPYAIR,"Rock This Way[RELEASE]"
"Scoob Rock","Stranded People Volume 2[RELEASE]"
"Soul Theory (3)","Stranded People Volume 2[RELEASE]"
"Aran Epochal","Konec Srpna[RELEASE]"
"Tahle Hudba","Konec Srpna[RELEASE]"
Heinis,Talviuni[RELEASE]
"DJ Tuleva Työtön",Talviuni[RELEASE]
Ameldabee,"805: Oxnard Sound[RELEASE]"
Lefto,"805: Oxnard Sound[RELEASE]"
Seamo,"ラヴィン・ユー[RELEASE]"
Mummy-D,"ラヴィン・ユー[RELEASE]"
"Crystal Boy","ラヴィン・ユー[RELEASE]"
"Shota Shimizu","ラヴィン・ユー[RELEASE]"
Dohzi-T,"ラヴィン・ユー[RELEASE]"
"NDS (4)","Catch My Breath[RELEASE]"
"Sammi Constantine","Catch My Breath[RELEASE]"
"Five A",Dandelions[RELEASE]
"Abby Lee",Dandelions[RELEASE]
Webbie,"Give Me That[RELEASE]"
"Bun B","Give Me That[RELEASE]"
Husalah,"Tortoise And The Hare[RELEASE]"
"Blanco (6)","Tortoise And The Hare[RELEASE]"
"Wanted Nationwide","Wanted Nationwide And The Posse[RELEASE]"
"The Posse (4)","Wanted Nationwide And The Posse[RELEASE]"
"Προμηθευτής","Με Τις Πρώτες Βροχές[RELEASE]"
"Αλχημιστής (2)","Με Τις Πρώτες Βροχές[RELEASE]"
Apathy,Perestroika[RELEASE]
O.C.,Perestroika[RELEASE]
"Too Short","Keep Bouncin'[RELEASE]"
"Snoop Dogg","Keep Bouncin'[RELEASE]"
"Will I Am","Keep Bouncin'[RELEASE]"
Jay-Z,H.A.M.[RELEASE]
"Kanye West",H.A.M.[RELEASE]
Zaytoven,"Mamas Basement[RELEASE]"
"Gucci Mane","Mamas Basement[RELEASE]"
Menacide,"The Mystery Disc[RELEASE]"
McNastee,"The Mystery Disc[RELEASE]"
"Chip (9)","My Bruddaz[RELEASE]"
"Wiley (2)","My Bruddaz[RELEASE]"
"Frisco (2)","My Bruddaz[RELEASE]"
"Aesop Rock","Tom Shall Pass[RELEASE]"
"Tom Waits","Tom Shall Pass[RELEASE]"
"Aesop Waits","Tom Shall Pass[RELEASE]"
Neila,"Analog Jewelry[RELEASE]"
"Vingthor The Hurler","Analog Jewelry[RELEASE]"
Myalansky,"The Syndicate Is Back[RELEASE]"
"Joe Mafia","The Syndicate Is Back[RELEASE]"
Majka,Belehalok[RELEASE]
"Curtis (20)",Belehalok[RELEASE]
"BLR (2)",Belehalok[RELEASE]
"Kool Savas","Royal Bunker[RELEASE]"
Sido,"Royal Bunker[RELEASE]"
"Rico (5)",IZM[RELEASE]
"Stickz (2)",IZM[RELEASE]
"Danny Brown (2)","25 Bucks[RELEASE]"
"Purity Ring","25 Bucks[RELEASE]"
"Yo Gotti","Rake It Up[RELEASE]"
"Nicki Minaj","Rake It Up[RELEASE]"
"Notorious B.I.G.","Hold Ya Head[RELEASE]"
"Bob Marley","Hold Ya Head[RELEASE]"
Macklemore,Marmalade[RELEASE]
"Lil Yachty",Marmalade[RELEASE]
"Cocoa Brovaz","Get Up / Let's Grow[RELEASE]"
"Royce Da 5'9""","Get Up / Let's Grow[RELEASE]"
"DJ Swab",Medicin[RELEASE]
Machacha,Medicin[RELEASE]
Spirals,"Гидравлический Цефалит[RELEASE]"
"Zolotoy Everyday","Гидравлический Цефалит[RELEASE]"
"Северный Ветер","Рождённые...[RELEASE]"
"Dmitry 29 Rus","Рождённые...[RELEASE]"
"Post Malone",Rockstar[RELEASE]
"21 Savage",Rockstar[RELEASE]
"DJ Laz","Facina / Bounce To This[RELEASE]"
"South Park Mexican","Facina / Bounce To This[RELEASE]"
Various,Scratch[RELEASE]
"Doug Pray",Scratch[RELEASE]
Usher,Rivals[RELEASE]
"Future (4)",Rivals[RELEASE]
"Relik Berkowitz","Slum Dank[RELEASE]"
Deltah,"Slum Dank[RELEASE]"
Embis,"Let's Go[RELEASE]"
"Su Su","Let's Go[RELEASE]"
Ole,"Mach Sie An[RELEASE]"
"Carl Keaton Jr.","Mach Sie An[RELEASE]"
HimeHime,"Horse Eating Carrot, 2014[RELEASE]"
"Drunk Debate","Horse Eating Carrot, 2014[RELEASE]"
HimeHime,"Summum Bonum[RELEASE]"
"Trenton Herriford","Summum Bonum[RELEASE]"
"Sleepwalker (3)","Do You Feel My Love / Wer ???[RELEASE]"
"Tony Greer","Do You Feel My Love / Wer ???[RELEASE]"
"Nico Suave","Do You Feel My Love / Wer ???[RELEASE]"
"Haak MC","Do You Feel My Love / Wer ???[RELEASE]"
Lakman,"Fear Of A Wack Planet[RELEASE]"
Orangefield,"Fear Of A Wack Planet[RELEASE]"
"Tajima Hal",8d[RELEASE]
%C,8d[RELEASE]
%C,"The Digi[RELEASE]"
"Toshiki Hayashi","The Digi[RELEASE]"
"Son Raw","Mellow Submarine[RELEASE]"
"eGOn (19)","Mellow Submarine[RELEASE]"
%C,"B​(​ackr​)​oom Sounds[RELEASE]"
"Toshiki Hayashi","B​(​ackr​)​oom Sounds[RELEASE]"
"DJ Clay 369","Mell'Ocean[RELEASE]"
"DJ Caliph","Mell'Ocean[RELEASE]"
Lidly,"ShinKanSen EP[RELEASE]"
TiMT,"ShinKanSen EP[RELEASE]"
canooooopy,"幾何思議なるサイボーグ [Geomysteric Psyborg][RELEASE]"
Lidly,"幾何思議なるサイボーグ [Geomysteric Psyborg][RELEASE]"
Lidly,"L​.​A 2[RELEASE]"
Axion117,"L​.​A 2[RELEASE]"
Lidly,"Nano EP[RELEASE]"
Axion117,"Nano EP[RELEASE]"
TiMT,"Nano EP[RELEASE]"
Slaine,Anti-Hero[RELEASE]
Termanology,Anti-Hero[RELEASE]
"Krayzie Bone","Thug Brothers 3[RELEASE]"
"Young Noble","Thug Brothers 3[RELEASE]"
T-Lee,"This Is For The Genie[RELEASE]"
"Da Bentley Boyz","This Is For The Genie[RELEASE]"
"Białas","In Hajs We Trust Mixtape[RELEASE]"
Lanek,"In Hajs We Trust Mixtape[RELEASE]"
"Tone Chop","Respect Is Earned Not Given[RELEASE]"
"Frost Gamble","Respect Is Earned Not Given[RELEASE]"
"Go Yama","Vintage Soul[RELEASE]"
axion117,"Vintage Soul[RELEASE]"
Dagmxy,"ÅSÅ[RELEASE]"
"Doc Mastermind","ÅSÅ[RELEASE]"
"Go Yama","ÅSÅ[RELEASE]"
axion117,"ÅSÅ[RELEASE]"
"Hans Hustle","Contact EP[RELEASE]"
"Tahnee Matthiesen","Contact EP[RELEASE]"
"KC Rebell",Maximum[RELEASE]
"Summer Cem",Maximum[RELEASE]
"Mine (9)","Alle Liebe Nachträglich[RELEASE]"
Fatoni,"Alle Liebe Nachträglich[RELEASE]"
"16 Flip","ROOTS & BUDS[RELEASE]"
SEEDA,"ROOTS & BUDS[RELEASE]"
Issugi,"DAY and NITE[RELEASE]"
"Gradis Nice","DAY and NITE[RELEASE]"
"Juan RIOS","KO-OP 1 [RELEASE]"
"Smoke Trees.","KO-OP 1 [RELEASE]"
"PA Sports",Desperadoz[RELEASE]
Kianush,Desperadoz[RELEASE]
"Aesop Rock","Triple Fat Lice[RELEASE]"
"Homeboy Sandman","Triple Fat Lice[RELEASE]"
"Elephant Phinix","The Providers[RELEASE]"
JK1,"The Providers[RELEASE]"
"Andre Elias","Benefiting Beliefs[RELEASE]"
"EP Probably","Benefiting Beliefs[RELEASE]"
"Rio Grande (7)","Benefiting Beliefs[RELEASE]"
Smoovth,Medellin[RELEASE]
"Giallo Point",Medellin[RELEASE]
"Lil' Eto","Omertà: The Film[RELEASE]"
"V Don","Omertà: The Film[RELEASE]"
"Clinton Sparks","New Crack City[RELEASE]"
"Busta Rhymes","New Crack City[RELEASE]"
"Yellow Claw","Do You Like Bass?[RELEASE]"
"Juyen Sebulba","Do You Like Bass?[RELEASE]"
"Beatnick Dee",Composure[RELEASE]
"Allen Poe",Composure[RELEASE]
"The Grand Rapmasters","Christmas Rappin'[RELEASE]"
"Afrika Bambaataa","Christmas Rappin'[RELEASE]"
"MC G.L.O.B.E.","Christmas Rappin'[RELEASE]"
"Pow Wow","Christmas Rappin'[RELEASE]"
Migos,"Motor Sport[RELEASE]"
"Nicki Minaj","Motor Sport[RELEASE]"
"Cardi B","Motor Sport[RELEASE]"
"DJ Drama","The City Is In Good Hands[RELEASE]"
"Snoop Dogg","The City Is In Good Hands[RELEASE]"
"Clinton Sparks","Smashtime Radio Vol. 1[RELEASE]"
"Kanye West","Smashtime Radio Vol. 1[RELEASE]"
Mystik,Mobebissi[RELEASE]
"Zao (5)",Mobebissi[RELEASE]
"Gram (4)","Live & Uncut Pine Fresh Mix[RELEASE]"
"Mum's The Word","Live & Uncut Pine Fresh Mix[RELEASE]"
"DJ ShowOutTime","Fatboy Season[RELEASE]"
"Guap Tarantino","Fatboy Season[RELEASE]"
"Marz (7)","Candy Days[RELEASE]"
"Billion Dollar Ballers","Candy Days[RELEASE]"
Ty$,"Dawsin's Breek [RELEASE]"
"ASAP Rocky","Dawsin's Breek [RELEASE]"
N*E*R*D,Lemon[RELEASE]
Rihanna,Lemon[RELEASE]
"루카스",Death/Rebirth[RELEASE]
ikaribeats,Death/Rebirth[RELEASE]
Spax,Wahrheit[RELEASE]
"DJ Brisk Fingaz",Wahrheit[RELEASE]
KREC,"Vol.1 NYC[RELEASE]"
"Лион","Vol.1 NYC[RELEASE]"
"Will Smith","Live In Concert[RELEASE]"
"DJ Jazzy Jeff","Live In Concert[RELEASE]"
"40 Thevz","All I Wanna Do[RELEASE]"
"Malika (2)","All I Wanna Do[RELEASE]"
"DJ Motion (3)","Reasonable Suspicion - A Thug Story (Remix)[RELEASE]"
2Pac,"Reasonable Suspicion - A Thug Story (Remix)[RELEASE]"
Meyhem,"Gems From The Equinox[RELEASE]"
"DJ Muggs","Gems From The Equinox[RELEASE]"
"The MJM Artists","Goosebumps - Children of the Night[RELEASE]"
Various,"Goosebumps - Children of the Night[RELEASE]"
Eminem,"Walk On Water[RELEASE]"
"Beyoncé","Walk On Water[RELEASE]"
"Cas One","So Our Egos Don't Kill Us[RELEASE]"
"Figure (4)","So Our Egos Don't Kill Us[RELEASE]"
"Sigma (8)",Forever[RELEASE]
Quavo,Forever[RELEASE]
"Sebastian Kole",Forever[RELEASE]
"Quality Control (6)","Too Hotty[RELEASE]"
Quavo,"Too Hotty[RELEASE]"
Takeoff,"Too Hotty[RELEASE]"
"Offset (10)","Too Hotty[RELEASE]"
"Quality Control (6)","On Me[RELEASE]"
"Lil Yachty","On Me[RELEASE]"
"Young Thug (2)","On Me[RELEASE]"
"Warren Xclnce","Rough Sketches[RELEASE]"
"Reiss G","Rough Sketches[RELEASE]"
"Etta Bond",Meds[RELEASE]
"Raf Riley",Meds[RELEASE]
"L.I.F.E. Long","Bat Out The Cave[RELEASE]"
"Bunty Beats","Bat Out The Cave[RELEASE]"
"Richie Saps","Mindless E.P[RELEASE]"
"Warren Xclnce","Mindless E.P[RELEASE]"
"Richie Saps","Infinite EP[RELEASE]"
"Scott Xylo","Infinite EP[RELEASE]"
"Junior Stress","#JużWkrótceMixTape[RELEASE]"
"Jurek Dre$","#JużWkrótceMixTape[RELEASE]"
WestsideGunn,"Westside Doom[RELEASE]"
"MF Doom","Westside Doom[RELEASE]"
M.C.L.C,"Mask EP[RELEASE]"
"Franz Snake","Mask EP[RELEASE]"
"Reckonize Real","Vibes EP[RELEASE]"
"Moka Only","Vibes EP[RELEASE]"
"DJ Vadim","Double Sided[RELEASE]"
"Katrina Blackstone","Double Sided[RELEASE]"
"Verb. T","Good Evening[RELEASE]"
"Pitch 92","Good Evening[RELEASE]"
Tea-chi,Soranone[RELEASE]
Utaboy,Soranone[RELEASE]
L7or,"Amer L'wa9i3[RELEASE]"
"Cha3ir L'A7zan","Amer L'wa9i3[RELEASE]"
"Playya 1000",Foe-Da-$Mill$-Ticket[RELEASE]
"The D'kster",Foe-Da-$Mill$-Ticket[RELEASE]
Tea-chi,Babel[RELEASE]
"Dewy (2)",Babel[RELEASE]
"カクマクシャカ",Babel[RELEASE]
"Skrill (2)",Babel[RELEASE]
"Danger Mouse","Chase Me (Music From The Motion Picture Baby Driver)[RELEASE]"
"Run The Jewels","Chase Me (Music From The Motion Picture Baby Driver)[RELEASE]"
"Big Boi","Chase Me (Music From The Motion Picture Baby Driver)[RELEASE]"
Blackbear,"Do Re Mi[RELEASE]"
"Gucci Mane","Do Re Mi[RELEASE]"
"Legit Figurez","Goldline 1[RELEASE]"
"Yontz (2)","Goldline 1[RELEASE]"
"Esteban (27)","Goldline 1[RELEASE]"
"Legit Figurez",Creep[RELEASE]
"Butch Vega",Creep[RELEASE]
"Legit Figurez","Fuck Em[RELEASE]"
Kosherbeets,"Fuck Em[RELEASE]"
"Butch Vega",#Chad[RELEASE]
"Cj Francis",#Chad[RELEASE]
"At Versaris","Per Principis Elegants[RELEASE]"
Asstrio,"Per Principis Elegants[RELEASE]"
"Lucio Bukowski","Requiem/Nativité[RELEASE]"
"Oster Lapwass","Requiem/Nativité[RELEASE]"
"Major Lazer","Know No Better (Afrojack Freemix)[RELEASE]"
"Travis Scott (2)","Know No Better (Afrojack Freemix)[RELEASE]"
"Camila Cabello","Know No Better (Afrojack Freemix)[RELEASE]"
Quavo,"Know No Better (Afrojack Freemix)[RELEASE]"
Thundercat,Drank[RELEASE]
"OG Ron ""C""",Drank[RELEASE]
"The Chopstars",Drank[RELEASE]
Madcon,"Don't Stop Loving Me[RELEASE]"
"KDL (3)","Don't Stop Loving Me[RELEASE]"
"Slug Christ","It's Colder At The Bottom of The Shower[RELEASE]"
"Nedarb Nagrom","It's Colder At The Bottom of The Shower[RELEASE]"
Datkid,"Teeth Ledger LP[RELEASE]"
"Baileys Brown","Teeth Ledger LP[RELEASE]"
"Pete Rock","Lost Sessions[RELEASE]"
INI,"Lost Sessions[RELEASE]"
"Masashi Tamada",Chime[RELEASE]
"ヱスケー",Chime[RELEASE]
"ヱスケー","とおまわり[RELEASE]"
"ここせまみ","とおまわり[RELEASE]"
Z-Ro,"No Nutt No Glory[RELEASE]"
"DJ Harvey D","No Nutt No Glory[RELEASE]"
"Jeff Le Nerf","Dernier Manuscrit[RELEASE]"
"Furax Barbarossa","Dernier Manuscrit[RELEASE]"
"Apollo Brown",Anchovies[RELEASE]
"Planet Asia",Anchovies[RELEASE]
"Gensu Dean","Game of Death[RELEASE]"
"Wise Intelligent","Game of Death[RELEASE]"
"Juicy J","Shell Shocked[RELEASE]"
"Wiz Khalifa","Shell Shocked[RELEASE]"
Ty$,"Shell Shocked[RELEASE]"
Plastiglomerate,"Virtual Vacation[RELEASE]"
Boringcharlie,"Virtual Vacation[RELEASE]"
"Young Noble","For My People[RELEASE]"
"Deuce Deuce","For My People[RELEASE]"
Kollegah,"Jung Brutal Gutaussehend 3[RELEASE]"
"Farid Bang","Jung Brutal Gutaussehend 3[RELEASE]"
Keysha,"Stop It! / What Is Love Today[RELEASE]"
"Fg's Romance","Stop It! / What Is Love Today[RELEASE]"
Mamaletta,"A Better Place[RELEASE]"
"Kill Emil","A Better Place[RELEASE]"
"Damu The Fudgemunk","The Reflecting Sea (Welcome To A New Philosophy)[RELEASE]"
"Raw Poetic","The Reflecting Sea (Welcome To A New Philosophy)[RELEASE]"
"Monika Načeva","Průvan V Hlavě[RELEASE]"
Tentato,"Průvan V Hlavě[RELEASE]"
"DJ Five","Průvan V Hlavě[RELEASE]"
"Heem Stogied","King Stogied: Dump Gawd Edition[RELEASE]"
ThaGodFahim,"King Stogied: Dump Gawd Edition[RELEASE]"
"Who See?",Igranka[RELEASE]
"Nina Žižić",Igranka[RELEASE]
Repete23,"Königlicher Sound[RELEASE]"
"Herr König","Königlicher Sound[RELEASE]"
Neffa,"Aspettando Il Sole[RELEASE]"
"I Messaggeri Della Dopa","Aspettando Il Sole[RELEASE]"
"Giuliano Palma","Aspettando Il Sole[RELEASE]"
"Серёга","РЭП vs. СПИД[RELEASE]"
"ВВЖ","РЭП vs. СПИД[RELEASE]"
"Jam Baxter","Laminated Cakes[RELEASE]"
"Ed Scissor","Laminated Cakes[RELEASE]"
"Strang3r Danger","Stranger Danger Presents Tha Roach Killaz[RELEASE]"
"Tha Roach Killaz","Stranger Danger Presents Tha Roach Killaz[RELEASE]"
Pitbull,"Riding It Raw[RELEASE]"
"Havana (10)","Riding It Raw[RELEASE]"
Anitta,"Vai Malandra[RELEASE]"
"Mc Zaac","Vai Malandra[RELEASE]"
"Maejor Ali","Vai Malandra[RELEASE]"
Tropkillaz,"Vai Malandra[RELEASE]"
"DJ Yuri Martins","Vai Malandra[RELEASE]"
"No Nose","X L'inconnu[RELEASE]"
"Gaz Korbier","X L'inconnu[RELEASE]"
"Big Sean","Double Or Nothing[RELEASE]"
"Metro Boomin","Double Or Nothing[RELEASE]"
Campanella,"campy & hempy[RELEASE]"
"Toshi蝮","campy & hempy[RELEASE]"
"Big Sean","Pull Up N Wreck[RELEASE]"
"Metro Boomin","Pull Up N Wreck[RELEASE]"
"21 Savage","Pull Up N Wreck[RELEASE]"
Bukshot,"Ready Or Not[RELEASE]"
"Jazze Pha","Ready Or Not[RELEASE]"
"DJ Mamania","Iš kaukolės į kaukolę Mixtape[RELEASE]"
Svaras,"Iš kaukolės į kaukolę Mixtape[RELEASE]"
"The Lonely Island","3-Way (The Golden Rule)[RELEASE]"
"Justin Timberlake","3-Way (The Golden Rule)[RELEASE]"
"Lady Gaga","3-Way (The Golden Rule)[RELEASE]"
"Stefan Dimitrijević Leon",Legalna[RELEASE]
"Maya Berović",Legalna[RELEASE]
"Hustle Gang","Game 7[RELEASE]"
T.I.,"Game 7[RELEASE]"
"RaRa (9)","Game 7[RELEASE]"
"Brandon Rossi","Game 7[RELEASE]"
Spenda,"Steel Sharpens Steel[RELEASE]"
"Grubby Pawz","Steel Sharpens Steel[RELEASE]"
"Lee Hom Wang","不可思议 = Unbelievable[RELEASE]"
"2 Chainz","Trap-A-Velli Tre[RELEASE]"
"Titty Boy","Trap-A-Velli Tre[RELEASE]"
"Young Noble","The Year Of The Underdogz[RELEASE]"
"Gage Gully","The Year Of The Underdogz[RELEASE]"
"Mr. Lif",Resilient[RELEASE]
"Brass Menazeri",Resilient[RELEASE]
"Koljah (2)","Motto Mobbing[RELEASE]"
NMZS,"Motto Mobbing[RELEASE]"
HomeProduction,"Love In Progress​.​.​.[RELEASE]"
Spurga,"Love In Progress​.​.​.[RELEASE]"
"Lil Noah","Shine / Do It Like That[RELEASE]"
"Gillie Da Kid","Shine / Do It Like That[RELEASE]"
"AB Luva","Shine / Do It Like That[RELEASE]"
"Von Pea","The Fiasco[RELEASE]"
"The Other Guys (4)","The Fiasco[RELEASE]"
"Franz Snake",Gorap[RELEASE]
"Dizzy (38)",Gorap[RELEASE]
Nas,Nasimoto[RELEASE]
Quasimoto,Nasimoto[RELEASE]
"Pete Rock","Marshall And The Soul Brother[RELEASE]"
Eminem,"Marshall And The Soul Brother[RELEASE]"
112,"It's Going Down 2Night[RELEASE]"
T.I.,"It's Going Down 2Night[RELEASE]"
"Heem Stogied","5 Finger Discount[RELEASE]"
"Ol Man 80zz","5 Finger Discount[RELEASE]"
"Heem Stogied","The Theory Of Mankind[RELEASE]"
Eyedee,"The Theory Of Mankind[RELEASE]"
ThaGodFahim,"Soul Klap Tape[RELEASE]"
"Kungg Fuu","Soul Klap Tape[RELEASE]"
"Grandmaster Melle Mel","White Lines (U.K. Mastermix) [RELEASE]"
"The Furious Five","White Lines (U.K. Mastermix) [RELEASE]"
K.Burns,"Kilo Dreams[RELEASE]"
"The Historian","Kilo Dreams[RELEASE]"
"Camoflauge Monk",Gourmandise[RELEASE]
"Mach Hommy",Gourmandise[RELEASE]
"Recognize Ali","Allah’s Favorite[RELEASE]"
"DJ TMB","Allah’s Favorite[RELEASE]"
LMFAO,"Champagne Showers[RELEASE]"
"Natalia Kills","Champagne Showers[RELEASE]"
Retrogott,"Vintage Fresh[RELEASE]"
"Kut Masta Kurt","Vintage Fresh[RELEASE]"
Kreiml,"Wuff Oink[RELEASE]"
"Samurai (15)","Wuff Oink[RELEASE]"
"Tinashe (2)","No Drama[RELEASE]"
"Offset (10)","No Drama[RELEASE]"
"Ras Kass","Pyramid Schemes[RELEASE]"
"Coast Contra","Pyramid Schemes[RELEASE]"
Destruct,"The Blend [RELEASE]"
Smoovth,"The Blend [RELEASE]"
"Rancore (2)",Elettrico[RELEASE]
"Dj Myke",Elettrico[RELEASE]
"Big Toast","You Are Not Special[RELEASE]"
"Ill Move Sporadic","You Are Not Special[RELEASE]"
"Sir Beanz OBE","Project Kubrick[RELEASE]"
Kelz,"Project Kubrick[RELEASE]"
"Yellow Claw","Both Of Us[RELEASE]"
Stori,"Both Of Us[RELEASE]"
Aazar,"Booty Time[RELEASE]"
Cesqeaux,"Booty Time[RELEASE]"
"Stefan Cvijović Cvija","Crni Sin[RELEASE]"
"Relja Popović","Crni Sin[RELEASE]"
"Coby (2)","Crni Sin[RELEASE]"
